time,accX,accY,accZ,wRoll,wPitch,wYaw
14.53,       -0.80551142,        -0.1964662,-9.842956620000001,    -0.03490658504,    -0.05235987756,    -0.50614548308
14.57,   -0.92339114,   -0.10805641,   -9.87242655,-0.01745329252,-0.03490658504,-0.47123889804
14.61,     -0.982331,    0.04911655,   -9.81348669,-0.05235987756,             0,-0.45378560552
14.64,     -0.982331,             0,   -9.81348669,-0.03490658504,             0,-0.47123889804
14.68,         -0.982331,       -0.01964662,-9.754546830000001,    -0.03490658504,     0.01745329252,    -0.47123889804
14.72,   -0.95286107,     0.1964662,   -9.81348669,-0.01745329252, 0.01745329252,-0.50614548308
14.75,         -0.982331,        0.01964662,-9.842956620000001,    -0.01745329252,     0.01745329252,    -0.48869219056
14.78,       -0.92339114,        0.01964662,-9.754546830000001,    -0.03490658504,     0.05235987756,    -0.48869219056
14.82,       -0.86445128,        0.22593613,-9.666137040000001,    -0.01745329252,                 0,     -0.5235987756
14.85,       -0.89392121,        0.16699627,-9.725076899999999,    -0.05235987756,    -0.01745329252,    -0.50614548308
14.9,       -0.95286107,        0.04911655,-9.754546830000001,     -0.0872664626,                 0,    -0.47123889804
14.93,       -1.04127086,        0.37328578,-9.754546830000001,    -0.15707963268,    -0.01745329252,    -0.47123889804
14.97,       -1.14932727,        0.43222564,-9.754546830000001,    -0.13962634016,    -0.05235987756,     -0.5235987756
15,     -0.982331,     0.4911655,   -9.61702049,-0.13962634016,-0.01745329252,-0.59341194568
15.04,       -0.83498135,        0.28487599,-9.646490419999999,    -0.12217304764,     0.01745329252,    -0.54105206812
15.07,       -0.86445128,        0.40275571,-9.754546830000001,    -0.12217304764,     0.01745329252,    -0.47123889804
15.1,       -0.92339114,        0.55010536,-9.754546830000001,    -0.10471975512,                 0,    -0.47123889804
15.14,   -0.83498135,    0.37328578,   -9.78401676,-0.10471975512,             0,-0.48869219056
15.18,       -0.92339114,        0.22593613,-9.842956620000001,    -0.10471975512,                 0,      -0.436332313
15.21,       -0.86445128,        0.34381585,-9.931366410000001,    -0.12217304764,                 0,      -0.436332313
15.24,   -0.77604149,    0.34381585,   -9.90189648,-0.05235987756, 0.01745329252,-0.40142572796
15.27,       -0.77604149,        0.43222564,-9.725076899999999,    -0.06981317008,     0.05235987756,    -0.38397243544
15.31,       -0.86445128,        0.56975198,-9.842956620000001,    -0.05235987756,     0.06981317008,    -0.38397243544
15.34,    -0.6876317,    0.56975198,   -9.81348669,             0,  0.0872664626,-0.40142572796
15.38,   -0.59922191,    0.34381585,   -9.78401676,             0,  0.0872664626,-0.36651914292
15.41,   -0.71710163,    0.40275571,   -9.87242655,-0.05235987756,             0,-0.36651914292
15.45,   -0.83498135,    0.37328578,   -10.0197762,-0.06981317008,-0.03490658504,-0.31415926536
15.48,   -0.92339114,    0.37328578,   -9.78401676,-0.10471975512,-0.03490658504,-0.33161255788
15.51,       -0.95286107,        0.52063543,-9.725076899999999,     -0.0872664626,     0.03490658504,    -0.36651914292
15.55,   -0.77604149,    0.56975198,   -9.78401676,-0.06981317008, 0.06981317008,-0.38397243544
15.58,       -0.56975198,        0.55010536,-9.842956620000001,    -0.05235987756,     0.06981317008,    -0.40142572796
15.61,    -0.4911655,     0.4911655,   -9.90189648,-0.05235987756, 0.06981317008,-0.38397243544
15.65,    -0.4911655,    0.55010536,   -9.90189648,-0.03490658504, 0.03490658504,-0.36651914292
15.68,        -0.4911655,         0.4911655,-9.931366410000001,    -0.03490658504,     0.05235987756,    -0.29670597284
15.72,   -0.55010536,    0.55010536,   -9.69560697,-0.03490658504, 0.05235987756,-0.24434609528
15.76,       -0.59922191,        0.80551142,-9.666137040000001,    -0.05235987756,     0.10471975512,    -0.22689280276
15.79,       -0.55010536,        0.74657156,-9.754546830000001,                 0,     0.06981317008,    -0.20943951024
15.83,   -0.59922191,    0.77604149,   -9.69560697, 0.01745329252,  0.0872664626,-0.24434609528
